Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
06:27:30,3930967.364,102874.714,0.0,5496995.3,13691248.5,1160202370855.454,104153031765.25,2155849184942.5,66810278.2,1574091975.0,333070591.25,382478093643.5,1487254372.667,8630516992.0,512578.652,470946.333,1166820.133,350447.714,0.0,65961986.5,9025.0,4987120.476
06:37:30,3995418.455,111447.571,0.0,5924157.5,14755156.5,1256681625468.273,112551061893.0,2335508845789.0,82542126.8,1574091975.0,364910334.75,414459514238.75,1499162878.0,8630472960.0,557964.826,516422.0,1166820.133,377685.143,0.0,65961986.5,9041.0,5130787.524
06:47:30,4050186.455,120020.714,0.0,6351355.5,15819140.5,1353280004137.273,120938942513.5,2515167945777.5,98531479.8,1574091975.0,396980353.25,445430316255.5,1511071325.667,8630974464.0,599345.217,566219.333,1166820.133,404875.857,0.0,65961986.5,8963.0,5277848.524
06:57:30,4101231.091,128593.571,0.0,6777590.7,16880765.5,1449200189875.091,129704820884.5,2694827904578.25,114889249.6,1574091975.0,428794737.0,477481991801.25,1522946188.667,8631025408.0,643480.043,616681.667,1166820.133,431727.286,0.0,65961986.5,9027.667,5441945.714
07:07:31,4246505.364,137166.714,0.0,7201972.9,17937781.75,1545127129619.182,138596463350.75,2874490159228.75,131552444.2,1574091975.0,461154464.0,509788035052.0,1534838988.667,8632090880.0,678573.826,669397.0,1166820.133,458987.714,0.0,65961986.5,9015.667,5698042.952
07:17:31,4321761.727,145739.571,0.0,7629551.9,19002709.75,1641099305517.909,146784045404.5,3054150136628.25,147801693.8,1574091975.0,493776757.5,540312156131.5,2891015232.0,8632815872.0,730324.696,714757.667,1166820.133,486080.857,0.0,65961986.5,9051.333,5877413.095
07:27:31,4417506.727,154312.429,0.0,8056851.1,20066978.75,1737311859437.454,155384651607.75,3233807119090.75,163276598.6,1574091975.0,523712434.75,571735401338.75,2902907270.667,8633174016.0,770960.174,751271.0,1166820.133,513892.429,0.0,65961986.5,9035.333,6063437.714
07:37:31,4599267.0,162886.0,0.0,8486965.3,21138194.5,1833239063093.364,163691288085.75,3413471128878.25,170087466.0,1574091975.0,551831297.5,602148429197.0,4259090485.333,8633813504.0,819995.522,773316.667,1166820.133,541046.286,0.0,65961986.5,9020.333,6334096.714
07:47:32,4660004.091,171459.714,0.0,8911512.1,22195634.25,1933775308366.818,170308556859.25,3593137692927.5,171755434.4,1574091975.0,577286358.0,629084156260.0,4270980721.0,8634072832.0,858083.217,790523.667,1166820.133,567805.857,0.0,65961986.5,9004.333,6442948.048
07:57:32,4722972.091,180033.143,0.0,9340166.9,23263226.75,2045709462029.0,176082599113.75,3772799430301.0,172954743.0,1574091975.0,601219589.5,654098706735.5,4282829113.0,8634422016.0,906805.348,803187.333,1166820.133,593733.857,0.0,65961986.5,9020.333,6554701.19
08:07:32,4782962.364,188606.0,0.0,9767109.7,24326569.25,2157661196459.182,181747015283.75,3952449315374.25,174071817.6,1574091975.0,624178189.75,678976132880.5,4294666358.333,8634465536.0,951742.783,815254.333,1166820.133,620082.286,0.0,65961986.5,9052.333,6656625.857
08:17:32,4856733.636,197179.0,0.0,10193418.3,25388349.0,2269693974276.636,186847359969.0,4132102944074.25,174943357.0,1574091975.0,645149893.25,702477213227.5,4306503299.333,8634636032.0,993547.522,826558.667,1166820.133,646683.143,0.0,65961986.5,9052.333,6767389.81
08:27:32,4978922.091,205752.0,0.0,10619125.9,26448656.75,2381670866984.909,191923005057.5,4311752779568.75,175842157.6,1574091975.0,666606424.75,725763169399.5,4318334267.0,8634577664.0,1044088.13,848653.667,1166820.133,674077.857,0.0,65961986.5,9036.333,6910110.19
08:37:32,5063868.182,214324.857,0.0,11046475.9,27513030.25,2493638648391.091,197250081118.0,4491401739305.75,176740264.2,1574091975.0,687297715.75,749155698626.75,4330174290.0,8634644992.0,1102233.0,857294.667,1166820.133,700962.286,0.0,65961986.5,9055.0,7024373.667
08:47:33,5135402.0,222897.714,0.0,11472120.1,28573169.5,2605597591287.636,202787731559.75,4671052009244.5,177597657.0,1574091975.0,707614938.5,773675799140.25,4342007198.667,8634818048.0,1143591.565,871134.667,1166820.133,727398.143,0.0,65961986.5,9055.0,7123604.667
08:57:33,5218108.818,231470.571,0.0,11903474.7,29647469.0,2717434283664.727,208326709228.5,4850701471662.5,179879361.2,1574091975.0,728033688.0,798258108586.75,4353807249.667,8634865152.0,1184179.609,882494.0,1166820.133,754193.286,0.0,65961986.5,9055.0,7230240.19
09:07:33,5286297.273,240043.571,0.0,12330292.9,30710502.75,2829382554473.182,213884592810.75,5030351666034.0,193362909.0,1574091975.0,748824444.5,822769568411.75,5709816310.333,8634774272.0,1238890.0,893013.667,1166820.133,781742.429,0.0,65961986.5,9054.667,7326698.81
09:17:33,5363427.273,248616.571,0.0,12757837.7,31775344.75,2941213210418.273,219146222228.5,5210002754815.5,206697722.4,1574091975.0,768967848.0,846438399033.0,5721576130.667,8634943232.0,1283893.174,908071.333,1166820.133,808016.714,0.0,65961986.5,9103.667,7431008.619
09:27:33,5458804.091,257189.571,0.0,13173183.7,32809619.25,3053183721467.273,224309391023.5,5389654806291.5,220168254.0,1574091975.0,789977544.0,869661974094.75,5733335792.0,8634860032.0,1324771.478,923169.0,1166820.133,835032.571,0.0,65961986.5,9103.667,7577499.524
09:37:34,5530344.636,265762.429,0.0,13599696.3,33871928.75,3165000782379.364,229572271172.75,5569303231325.75,233582107.4,1574091975.0,810218359.0,892920632660.75,5745093764.667,8634894848.0,1366109.696,932363.333,1166820.133,861549.286,0.0,65961986.5,9110.667,7667027.143
09:47:34,5600384.818,274335.429,0.0,14024423.9,34929803.75,3276846414923.364,235000078635.75,5748952863801.0,247032995.6,1574091975.0,830635144.25,916826780736.5,5756878995.667,8634928384.0,1411380.217,941978.667,1166820.133,887743.429,0.0,65961986.5,9078.667,7755959.286
09:57:34,5726656.818,282908.286,0.0,14451647.1,35993861.25,3388642183532.818,240616470506.0,5928603264192.75,260452470.0,1574091975.0,850619523.0,941847937331.5,5768646389.333,8634960384.0,1459856.565,953430.667,1166820.133,914284.714,0.0,65961986.5,9030.667,7913488.333
10:07:34,5800049.273,291481.286,0.0,14881397.7,37064185.75,3500459131895.454,246273288036.5,6108253288025.5,273936099.6,1574091975.0,870813860.75,966929311790.5,5780364693.667,8634987520.0,1515392.435,963900.667,1166820.133,939636.286,0.0,65961986.5,9078.667,8010478.714
10:17:34,5876055.545,300054.143,0.0,15321777.7,38161068.25,3612361037510.273,250875495620.75,6287903260760.0,287418401.8,1574091975.0,890954119.75,989843124976.25,5791992656.0,8635030272.0,1550253.565,975367.667,1166820.133,965716.143,0.0,65961986.5,9031.333,8125640.667
10:27:35,5949079.273,308627.0,0.0,15750849.3,39229733.75,3724280018957.636,254944754671.5,6467553674888.25,293825601.6,1574091975.0,910797990.25,1011044397421.5,5803591813.333,8635203840.0,1585105.043,986787.667,1166820.133,991673.0,0.0,65961986.5,9063.333,8231882.81
10:37:35,6022477.273,317200.0,0.0,16174847.3,40285795.75,3836241434689.0,258707124343.75,6647205363581.75,294641471.2,1574091975.0,930268565.75,1031086514388.75,5815212102.333,8635119360.0,1643806.478,998866.667,1166820.133,1018192.429,0.0,65961986.5,9046.333,8334329.571
